rowid,pl_hostname,pl_orbper,pl_bmassj,st_dist,st_mass,"freq, Hz","hzero,1e-24","hf, 1mos","hf, 6mos"
340,HD 160691,643.25,1.08,15.28,1.08,3.742709474265828e-8,0.09455176603950721,1.5222540690503582e-22,3.75597890512678e-22
312,HD 147513,528.4,1.21,12.87,1.11,4.619249001364192e-8,0.14737368663501743,2.372670586156689e-22,5.854279421291863e-22
439,HD 217107,7.126816,1.39,19.72,1.02,3.283474857983289e-6,1.791883272954337,2.88487642037091e-21,7.118085738191146e-21
472,HD 27442,428.1,1.56,18.24,1.23,6.00228932432538e-8,0.17093857351698236,2.752057946597889e-22,6.790372122018116e-22
1947,gam Cep,903.3,1.85,13.79,1.4,3.034957460731601e-8,0.18551520444267414,2.9867371775538506e-22,7.369414910513898e-22
1960,ups And,241.258,1.981,13.47,1.3,1.0950966819695636e-7,0.45534206017248363,7.330865756835406e-22,1.8088029914853308e-21
646,HIP 79431,111.7,2.1,14.9,0.49,1.454046857779101e-7,0.27482675446701976,4.424625396172081e-22,1.091723122243189e-21
651,HR 810,312.,2.13,17.24,1.25,8.304246189463849e-8,0.30987126885117516,4.988831194262455e-22,1.2309341198593532e-21
130,GJ 876,61.1166,2.2756,4.7,0.33,2.1835823624593476e-7,0.9504688788321677,1.5302253769680513e-21,3.775647149077544e-21
548,HD 62509,589.64,2.3,10.34,2.1,5.693724761016125e-8,0.613150827217684,9.871537896856582e-22,2.4356832972621428e-21
33,7 CMa,796.,2.46,19.84,1.52,3.5891434375142336e-8,0.2025320072572977,3.2607024180969485e-22,8.045391204576159e-22
102,GJ 317,692.,2.5,15.1,0.42,2.17468295079992e-8,0.0820364717216479,1.3207617173076763e-22,3.258820751256959e-22
101,GJ 3021,133.71,3.37,17.62,0.9,1.6458077770591495e-7,0.607606762177511,9.782280171485732e-22,2.4136600266118202e-21
129,GJ 86,15.76491,3.91,10.91,0.77,1.2919655008485558e-6,4.051169549769871,6.522257161197109e-21,1.6092885418628502e-20
1957,tau Boo,3.3124568,4.32,15.6,1.34,8.104315721137006e-6,15.413306560551069,2.4814944883753683e-20,6.122789316858724e-20
360,HD 1690,533.,6.1,7.01,1.09,4.547681331551242e-8,1.3317382096293644,2.1440571587748895e-21,5.290203273865014e-21
34,70 Vir,116.6926,7.4,18.11,1.09,2.0783550177555197e-7,1.721510098512954,2.771577795043674e-21,6.838535001319452e-21